CMIP6 GISS-E2.1-G NINT f2 Effective Radiative Forcings (ERF, W/m2) historical+SSP245
Miller et al. (2021)  https://doi.org/10.1029/2019MS002034
"Sm" denotes a smoothed version of the ERF using a lowess smoother with a 20-year window
    In contast Fig. 10 in Miller et al. (2021) uses a Fourier smoother
 
Year         All         WMGHG        WMGHG (Sm)   Aerosols     Aerosols (Sm)  Natural
1850       0.039      -0.077      -0.131      -0.077       0.006         0.103
1851       0.094      -0.231      -0.114      -0.027      -0.005        -0.336
1852       0.160      -0.146      -0.097       0.004      -0.015         0.143
1853       0.125      -0.076      -0.082       0.110      -0.026        -0.111
1854      -0.298      -0.080      -0.066       0.237      -0.036         0.006
1855      -0.242       0.176      -0.051      -0.210      -0.045        -0.014
1856      -0.223      -0.010      -0.036       0.036      -0.054        -0.167
1857       0.145      -0.246      -0.022      -0.335      -0.062         0.085
1858      -0.164       0.091      -0.007      -0.090      -0.071         0.056
1859      -0.030       0.073       0.008      -0.051      -0.082        -0.301
1860       0.061       0.034       0.015      -0.217      -0.092         0.027
1861      -0.514       0.030       0.020      -0.022      -0.101        -0.401
1862      -0.688       0.046       0.021      -0.230      -0.108        -0.605
1863       0.229       0.145       0.020       0.302      -0.113        -0.080
1864      -0.102      -0.040       0.019      -0.092      -0.115        -0.042
1865       0.169      -0.119       0.016      -0.083      -0.117         0.106
1866       0.158       0.157       0.014       0.039      -0.121        -0.017
1867      -0.140      -0.115       0.011      -0.471      -0.124        -0.172
1868       0.511       0.105       0.008      -0.317      -0.127         0.150
1869       0.017      -0.020       0.008       0.057      -0.129         0.046
1870      -0.173      -0.078       0.012      -0.236      -0.131        -0.029
1871       0.084       0.014       0.019      -0.087      -0.133         0.025
1872       0.040      -0.059       0.027      -0.056      -0.134         0.107
1873      -0.182       0.326       0.035      -0.259      -0.135        -0.042
1874       0.082       0.042       0.042      -0.342      -0.133        -0.089
1875      -0.139      -0.207       0.046      -0.019      -0.130         0.183
1876      -0.021       0.051       0.050      -0.024      -0.129        -0.126
1877       0.057       0.165       0.053      -0.080      -0.130         0.164
1878       0.121       0.188       0.057      -0.127      -0.132         0.194
1879      -0.026       0.270       0.061      -0.334      -0.133         0.111
1880       0.019      -0.114       0.064       0.003      -0.133        -0.104
1881       0.038      -0.045       0.069      -0.152      -0.131        -0.186
1882       0.152       0.116       0.075       0.065      -0.130        -0.071
1883      -0.719       0.013       0.084      -0.364      -0.131        -0.724
1884      -1.483       0.011       0.094      -0.262      -0.134        -1.805
