/* DATA DESCRIPTION:
Citation:	Extier, Thomas; Landais, Amaelle; Bréant, Camille; Prié, F; Bazin, Lucie; Dreyfus, Gabrielle; Roche, Didier M; Leuenberger, Markus C (2018): δ¹⁸Oatm records between 100-800 ka from EPICA Dome C ice core. PANGAEA, https://doi.org/10.1594/PANGAEA.887323, 
	In supplement to: Extier, T et al. (2018): On the use of d18O atm for ice core dating. Quaternary Science Reviews, 185, 244-257, https://doi.org/10.1016/j.quascirev.2018.02.008
Related to:	Bazin, Lucie; Landais, Amaelle; Capron, Emilie; Masson-Delmotte, Valerie; Ritz, Catherine; Picard, Ghislain; Jouzel, Jean; Dumont, Marie; Leuenberger, Markus C; Prié, F (2016): Phase relationships between orbital forcing and the composition of air trapped in Antarctic ice cores. Climate of the Past, 12(3), 729-748, https://doi.org/10.5194/cp-12-729-2016
	Dreyfus, Gabrielle; Parrenin, Frédéric; Lemieux-Dudon, Bénédicte; Durand, Gael; Masson-Delmotte, Valerie; Jouzel, Jean; Barnola, Jean-Marc; Panno, L; Spahni, Renato; Tisserand, Amandine; Siegenthaler, Urs; Leuenberger, Markus C (2007): Anomalous flow below 2700 m in the EPICA Dome C ice core detected using d18O of atmospheric oxygen measurements. Climate of the Past, 3(2), 341-353, https://doi.org/10.5194/cp-3-341-2007
	Dreyfus, Gabrielle; Raisbeck, Grant M; Parrenin, Frédéric; Jouzel, Jean; Guyodo, Yohan; Nomade, Jérome; Mazaud, Alain (2008): An ice core perspective on the age of the Matuyama-Brunhes boundary. Earth and Planetary Science Letters, 274(1-2), 151-156, https://doi.org/10.1016/j.epsl.2008.07.008
	Landais, Amaelle; Dreyfus, Gabrielle; Capron, Emilie; Jouzel, Jean; Masson-Delmotte, Valerie; Roche, D M; Prié, F; Caillon, Nicolas; Chappellaz, Jérôme A; Leuenberger, Markus C; Lourantou, Anna; Parrenin, Frédéric; Raynaud, Dominique; Teste, Grégory (2013): Two-phase change in CO2, Antarctic temperature and global climate during Termination II. Nature Geoscience, 6(12), 1062-1065, https://doi.org/10.1038/ngeo1985
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Coverage:	LATITUDE: -75.102000 * LONGITUDE: 123.395000
	MINIMUM DEPTH, ice/snow: 1410.77 m * MAXIMUM DEPTH, ice/snow: 3191.14 m
Event(s):	DomeC * LATITUDE: -75.102000 * LONGITUDE: 123.395000 * ELEVATION: 3233.0 m * METHOD/DEVICE: Drilling/drill rig (DRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Extier, Thomas (https://orcid.org/0000-0002-9531-8753, thomas.extier@lsce.ipsl.fr)
	AGE [ka BP] (Age) * GEOCODE * PI: Extier, Thomas (https://orcid.org/0000-0002-9531-8753, thomas.extier@lsce.ipsl.fr) * COMMENT: gas age
	δ18O, atmospheric [‰] (δ18Oatm) * PI: Extier, Thomas (https://orcid.org/0000-0002-9531-8753, thomas.extier@lsce.ipsl.fr)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	999 data points
*/
Depth ice/snow [m]	Age [ka BP]	δ18Oatm [‰]
1410.77	100.170	-0.0101
1413.52	100.355	-0.1229
1416.27	100.541	0.0024
1419.02	100.739	-0.0148
1421.77	100.925	-0.1060
1424.52	101.114	0.0210
1427.27	101.305	0.0979
1432.77	101.825	0.0315
1435.52	102.045	-0.0228
1438.27	102.316	-0.1482
1441.02	102.615	-0.1310
1443.77	102.995	-0.1263
1446.52	103.403	0.0277
1449.27	103.676	-0.0624
1452.02	103.970	-0.0084
1454.77	104.320	0.0920
1460.27	104.964	0.0772
1463.02	105.195	0.3599
1465.77	105.496	0.3925
1471.27	105.980	0.5473
1474.02	106.114	0.5251
1476.77	106.340	0.6228
1479.52	106.670	0.5232
1482.27	106.972	0.5250
1490.52	108.036	0.5230
1493.27	108.398	0.5265
1496.02	108.770	0.5814
1498.77	109.090	0.6297
1501.52	109.506	0.5898
1504.27	109.837	0.5678
1507.02	110.119	0.6423
1509.77	110.494	0.6834
1515.27	111.195	0.6949
1518.02	111.502	0.6544
1520.77	111.825	0.6513
1523.52	112.188	0.6118
1526.27	112.585	0.6035
1529.02	112.901	0.6334
1531.77	113.166	0.5989
1537.27	113.730	0.6083
1542.77	114.302	0.5226
1545.52	114.606	0.5624
1548.27	114.861	0.5188
1551.02	115.158	0.5457
1553.77	115.435	0.4429
1556.52	115.672	0.5208
1559.27	115.974	0.3972
1562.02	116.317	0.3855
1564.77	116.492	0.3459
1573.02	117.188	0.2941
1578.52	117.625	0.2121
1581.27	117.879	0.2237
1584.02	118.161	0.1800
1586.77	118.432	0.1131
1589.52	118.662	0.0422
1592.27	118.844	-0.0209
1595.18	119.062	-0.0690
1597.77	119.289	-0.1152
1600.52	119.521	-0.0458
1603.27	119.763	-0.1688
1606.02	119.987	-0.1769
1608.77	120.183	-0.2473
1611.52	120.374	-0.2380
1614.27	120.584	-0.2598
1617.02	120.821	-0.2603
1619.77	121.016	-0.2351
1622.68	121.237	-0.2960
1625.27	121.468	-0.3200
1628.02	121.676	-0.3105
1630.77	121.883	-0.3796
1633.52	122.112	-0.3446
1636.27	122.338	-0.3942
1639.02	122.564	-0.2893
1641.77	122.798	-0.3740
1644.52	123.016	-0.3476
1647.27	123.238	-0.3490
1650.21	123.478	-0.3985
1652.77	123.665	-0.3849
1655.52	123.815	-0.3738
1658.27	124.003	-0.3635
1661.02	124.247	-0.3041
1663.77	124.431	-0.3524
1669.27	124.860	-0.3532
1672.02	125.115	-0.2720
1674.77	125.328	-0.2091
1677.52	125.563	-0.1778
1683.02	126.059	-0.0436
1685.77	126.308	0.0223
1691.28	126.741	0.1220
1694.02	126.889	0.1731
1696.77	127.080	0.2031
1699.52	127.303	0.3532
1702.27	127.505	0.3938
1705.53	127.688	0.4567
1707.77	127.831	0.5000
1710.52	128.026	0.5877
1713.27	128.174	0.6669
1716.02	128.315	0.7310
1718.77	128.509	0.8651
1721.52	128.707	0.8951
1724.27	128.879	0.9086
1727.02	129.080	0.9565
1729.77	129.255	1.0164
1732.70	129.454	0.9775
1735.27	129.661	1.0357
1738.02	129.847	1.0114
1740.77	130.034	0.9978
1743.52	130.218	1.0778
1746.27	130.415	1.1727
1749.02	130.634	1.1448
1751.77	130.860	1.0837
1754.52	131.107	1.1402
