"xls","site_name","proxy","doi","age","age_uncertainty_older","age_uncertainty_younger","co2","co2_uncertainty_higher","co2_uncertainty_lower","reference","modern_latitude","modern_longitude"
"stomata-si_barclay_2016.xlsx","Fort Union","Stomatal Frequencies","10.1016/j.epsl.2016.01.012",56722,50,50,346,21.4,21.4,"Barclay, R.S. and Wing, S.L., 2016. Improving the Ginkgo CO2 barometer: Implications for the early Cenozoic atmosphere. Earth and Planetary Science Letters, 439, pp.158-171.",44.8,
"stomata-si_barclay_2016.xlsx","Fort Union","Stomatal Frequencies","10.1016/j.epsl.2016.01.012",56318,50,50,287,21.4,21.4,"Barclay, R.S. and Wing, S.L., 2016. Improving the Ginkgo CO2 barometer: Implications for the early Cenozoic atmosphere. Earth and Planetary Science Letters, 439, pp.158-171.",44.15,
"stomata-si_barclay_2016.xlsx","Fort Union","Stomatal Frequencies","10.1016/j.epsl.2016.01.012",56232,50,50,325,21.4,21.4,"Barclay, R.S. and Wing, S.L., 2016. Improving the Ginkgo CO2 barometer: Implications for the early Cenozoic atmosphere. Earth and Planetary Science Letters, 439, pp.158-171.",44.16,-107.85
"stomata-si_barclay_2016.xlsx","Fort Union","Stomatal Frequencies","10.1016/j.epsl.2016.01.012",56050,50,50,630,21.4,21.4,"Barclay, R.S. and Wing, S.L., 2016. Improving the Ginkgo CO2 barometer: Implications for the early Cenozoic atmosphere. Earth and Planetary Science Letters, 439, pp.158-171.",44.8,
"stomata-si_barclay_2016.xlsx","Fort Union","Stomatal Frequencies","10.1016/j.epsl.2016.01.012",55690,50,50,337,21.4,21.4,"Barclay, R.S. and Wing, S.L., 2016. Improving the Ginkgo CO2 barometer: Implications for the early Cenozoic atmosphere. Earth and Planetary Science Letters, 439, pp.158-171.",44.8,
"phytoplankton_bae_2015.xlsx","05PC-21","Phytoplankton","10.1016/j.csr.2015.07.010",0.5,,,252,,,"Bae, Si Woong, Kyung Eun Lee, and Kahee Kim. \"Use of carbon isotopic composition of alkenone as a CO2 proxy in the East Sea/Japan Sea.\" Continental Shelf Research 107 (2015): 24-32.",38.4,131.55
"phytoplankton_bae_2015.xlsx","05PC-21","Phytoplankton","10.1016/j.csr.2015.07.010",2.4,,,227,,,"Bae, Si Woong, Kyung Eun Lee, and Kahee Kim. \"Use of carbon isotopic composition of alkenone as a CO2 proxy in the East Sea/Japan Sea.\" Continental Shelf Research 107 (2015): 24-32.",38.4,131.55
"phytoplankton_bae_2015.xlsx","05PC-21","Phytoplankton","10.1016/j.csr.2015.07.010",5,,,239,,,"Bae, Si Woong, Kyung Eun Lee, and Kahee Kim. \"Use of carbon isotopic composition of alkenone as a CO2 proxy in the East Sea/Japan Sea.\" Continental Shelf Research 107 (2015): 24-32.",38.4,131.55
"phytoplankton_bae_2015.xlsx","05PC-21","Phytoplankton","10.1016/j.csr.2015.07.010",7.6,,,233,,,"Bae, Si Woong, Kyung Eun Lee, and Kahee Kim. \"Use of carbon isotopic composition of alkenone as a CO2 proxy in the East Sea/Japan Sea.\" Continental Shelf Research 107 (2015): 24-32.",38.4,131.55
"phytoplankton_bae_2015.xlsx","05PC-21","Phytoplankton","10.1016/j.csr.2015.07.010",10.2,,,243,,,"Bae, Si Woong, Kyung Eun Lee, and Kahee Kim. \"Use of carbon isotopic composition of alkenone as a CO2 proxy in the East Sea/Japan Sea.\" Continental Shelf Research 107 (2015): 24-32.",38.4,131.55
"phytoplankton_bae_2015.xlsx","05PC-21","Phytoplankton","10.1016/j.csr.2015.07.010",12.8,,,234,,,"Bae, Si Woong, Kyung Eun Lee, and Kahee Kim. \"Use of carbon isotopic composition of alkenone as a CO2 proxy in the East Sea/Japan Sea.\" Continental Shelf Research 107 (2015): 24-32.",38.4,131.55
"phytoplankton_bae_2015.xlsx","05PC-21","Phytoplankton","10.1016/j.csr.2015.07.010",14,,,239,,,"Bae, Si Woong, Kyung Eun Lee, and Kahee Kim. \"Use of carbon isotopic composition of alkenone as a CO2 proxy in the East Sea/Japan Sea.\" Continental Shelf Research 107 (2015): 24-32.",38.4,131.55
"phytoplankton_bae_2015.xlsx","05PC-21","Phytoplankton","10.1016/j.csr.2015.07.010",15.2,,,227,,,"Bae, Si Woong, Kyung Eun Lee, and Kahee Kim. \"Use of carbon isotopic composition of alkenone as a CO2 proxy in the East Sea/Japan Sea.\" Continental Shelf Research 107 (2015): 24-32.",38.4,131.55
"phytoplankton_bae_2015.xlsx","05PC-21","Phytoplankton","10.1016/j.csr.2015.07.010",16.4,,,235,,,"Bae, Si Woong, Kyung Eun Lee, and Kahee Kim. \"Use of carbon isotopic composition of alkenone as a CO2 proxy in the East Sea/Japan Sea.\" Continental Shelf Research 107 (2015): 24-32.",38.4,131.55
"phytoplankton_bae_2015.xlsx","05PC-21","Phytoplankton","10.1016/j.csr.2015.07.010",17.6,,,239,,,"Bae, Si Woong, Kyung Eun Lee, and Kahee Kim. \"Use of carbon isotopic composition of alkenone as a CO2 proxy in the East Sea/Japan Sea.\" Continental Shelf Research 107 (2015): 24-32.",38.4,131.55
"phytoplankton_bae_2015.xlsx","05PC-21","Phytoplankton","10.1016/j.csr.2015.07.010",37.2,,,208,,,"Bae, Si Woong, Kyung Eun Lee, and Kahee Kim. \"Use of carbon isotopic composition of alkenone as a CO2 proxy in the East Sea/Japan Sea.\" Continental Shelf Research 107 (2015): 24-32.",38.4,131.55
