/* DATA DESCRIPTION:
Citation:	Zachos, James C; Dickens, Gerald Roy; Zeebe, Richard E (2008): Age and δ¹⁸O analysis relating to Cenozoic greenhouse climatesXXX. PANGAEA, https://doi.org/10.1594/PANGAEA.816367, 
	Supplement to: Zachos, JC et al. (2008): An early Cenozoic perspective on greenhouse warming and carbon-cycle dynamics. Nature, 451(7176), 279-283, https://doi.org/10.1038/nature06588
Abstract:	Past episodes of greenhouse warming provide insight into the coupling of climate and the carbon cycle and thus may help to predict the consequences of unabated carbon emissions in the future.
Related to:	Bijl, Peter K; Bendle, James A; Bohaty, Steven M; Pross, Jörg; Schouten, Stefan; Tauxe, Lisa; Stickley, Catherine E; McKay, Robert M; Röhl, Ursula; Olney, M; Sluijs, Appy; Escutia Dotti, Carlota; Brinkhuis, Henk; Expedition 318 Scientists (2013): Eocene cooling linked to early flow across the Tasmanian Gateway. PANGAEA, https://doi.org/10.1594/PANGAEA.816368
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu)
	δ18O, adjusted/corrected [‰] (δ18O) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu)
	δ13C, adjusted/corrected [‰ PDB] (δ13C) * PI: Zachos, James C (https://orcid.org/0000-0001-8439-1886, jzachos@ernerald.ucsc.edu) * METHOD/DEVICE: Calculated * COMMENT: 5pnt MA
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1610 data points
*/
Age [ka BP]	δ18O [‰]	δ13C [‰ PDB]
41002.62	1.04	1.12
41007.78	1.15	1.10
41012.93	1.28	1.09
41017.05	1.16	1.11
41019.11	0.82	1.07
41023.23	1.11	1.04
41027.36	0.95	1.02
41034.57	1.13	1.15
41044.88	1.08	1.16
41052.09	1.50	1.18
41055.18	1.13	1.22
41065.49	1.08	1.26
41067.55	1.32	1.16
41076.83	1.28	1.18
41084.04	1.00	1.19
41087.13	1.24	1.14
41097.44	1.12	1.09
41107.74	1.06	1.06
41109.81	1.00	0.98
41119.08	0.86	0.98
41121.14	0.87	0.92
41129.39	1.10	0.91
41139.69	0.77	0.96
41141.76	0.93	0.96
41150.00	1.14	0.93
41161.48	0.85	0.98
41166.70	0.96	1.02
41171.91	1.03	1.01
41182.35	1.11	1.05
41192.78	1.08	1.06
41199.04	1.06	1.14
41204.26	1.01	1.15
41204.26	1.43	1.14
41206.35	1.17	1.11
41214.70	1.05	1.10
41225.13	0.89	1.01
41235.57	0.98	0.99
41238.70	0.97	0.93
41247.04	1.06	0.97
41248.09	0.76	0.96
41255.39	1.09	0.95
41257.48	0.94	0.90
41267.91	0.91	0.97
41270.00	0.82	0.98
41273.13	1.12	1.02
41278.35	1.12	1.03
41289.83	1.15	1.07
41295.04	0.95	1.06
41300.26	1.00	1.02
41310.70	1.07	1.02
41312.78	0.93	1.02
41321.13	1.14	1.11
41332.61	0.96	1.12
41342.00	1.45	1.14
41343.04	1.13	1.13
41353.48	1.01	1.11
41363.91	1.12	1.03
41371.22	0.83	1.02
41371.22	1.03	0.99
41375.39	1.11	0.98
41384.78	0.84	1.04
41385.83	1.08	1.03
